"
title","Correlation
","raiting_oy_sayisi
"
Pink Floyd - The Wall (1982),0.05756253720865706,114
Apt Pupil (1998),0.057033665188388954,160
Unforgiven (1992),0.05505922131273227,182
"Adventures of Priscilla, Queen of the Desert, The (1994)",0.054739986666229035,111
Emma (1996),0.054011252502787654,177
Executive Decision (1996),0.05388201336748178,157
Natural Born Killers (1994),0.05376892167967324,128
Fried Green Tomatoes (1991),0.052585803926973124,153
"Devil's Own, The (1997)",0.04935832845881113,240
"English Patient, The (1996)",0.04901282385887618,481
Hoop Dreams (1994),0.048915329862444124,117
"Rock, The (1996)",0.04793718714083166,378
On Golden Pond (1981),0.04697135360006831,106
Courage Under Fire (1996),0.046482934635336225,221
Home Alone (1990),0.046227565121641535,137
"Good, The Bad and The Ugly, The (1966)",0.046072928968309765,137
Volcano (1997),0.04594747502522652,219
Fly Away Home (1996),0.04525415836596911,180
Fargo (1996),0.04441459576062088,508
One Fine Day (1996),0.04371306911124586,112
Ben-Hur (1959),0.04355313815462997,124
Full Metal Jacket (1987),0.042141006480307046,170
Grumpier Old Men (1995),0.04131474595971915,148
In the Line of Fire (1993),0.04034709606655002,169
Mars Attacks! (1996),0.03956993966608652,217
"Silence of the Lambs, The (1991)",0.039487884517248474,390
"Shining, The (1980)",0.039365065854977586,206
Jerry Maguire (1996),0.03898827364710002,384
Twister (1996),0.03823199967587766,293
Heat (1995),0.03752657251346252,223
Basic Instinct (1992),0.037229255107467434,101
"Deer Hunter, The (1978)",0.03147210524287986,120
Rosewood (1997),0.0314494631110602,114
Taxi Driver (1976),0.029863126806926696,182
Apocalypse Now (1979),0.028575841689307314,221
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0.02692114866320454,194
Under Siege (1992),0.02670382676981929,124
Ed Wood (1994),0.026545375128343672,133
Rumble in the Bronx (1995),0.022033015256558628,174
Trainspotting (1996),0.021503559534362785,250
Mr. Holland's Opus (1995),0.020566414166013146,293
Clerks (1994),0.01942315850311265,148
Event Horizon (1997),0.017956318136036195,127
Benny & Joon (1993),0.016592663242436648,102
Heathers (1989),0.01611132306965206,171
"Graduate, The (1967)",0.01600838332784527,239
Face/Off (1997),0.01137121074281116,194
Jackie Brown (1997),0.01048210180535755,126
Dante's Peak (1997),0.010103231740566938,240
Four Weddings and a Funeral (1994),0.009654531158752816,251
Seven (Se7en) (1995),0.006096469600956846,236
Lost Highway (1997),0.0021832574305892813,125
Conan the Barbarian (1981),0.001548862865368843,107
Cape Fear (1991),0.0013710287473664828,171
Tombstone (1993),1.7944212290635978e-17,108
Much Ado About Nothing (1993),-0.002130418102043204,176
Welcome to the Dollhouse (1995),-0.0027585839525154578,112
Multiplicity (1996),-0.008779367955178507,134
Brazil (1985),-0.01072944358099524,208
"Killing Fields, The (1984)",-0.017122302749074485,121
Reservoir Dogs (1992),-0.01809572952281221,148
George of the Jungle (1997),-0.01834956420333726,162
Clueless (1995),-0.018472482632355767,170
My Fair Lady (1964),-0.019760996636696854,125
"Manchurian Candidate, The (1962)",-0.020115802336761905,131
Father of the Bride Part II (1995),-0.021324897298531972,128
Pulp Fiction (1994),-0.021567540081707907,394
Clear and Present Danger (1994),-0.021853973503017887,179
Phenomenon (1996),-0.0223591583142894,244
"Ice Storm, The (1997)",-0.023698279401488966,108
Carrie (1976),-0.02837657077944488,121
Dead Man Walking (1995),-0.03415818557281299,299
Ransom (1996),-0.0351843788377123,267
Raging Bull (1980),-0.035647163514801856,116
Strictly Ballroom (1992),-0.037459542113160084,104
Everyone Says I Love You (1996),-0.03965145821799617,168
Nikita (La Femme Nikita) (1990),-0.040328224360976224,127
"Time to Kill, A (1996)",-0.042790146196050864,232
Boogie Nights (1997),-0.045660361036201434,189
Kolya (1996),-0.04886625350897474,117
Henry V (1989),-0.048876975174286845,124
"Devil's Advocate, The (1997)",-0.05155987393720281,188
What's Eating Gilbert Grape (1993),-0.06049459441102157,115
Murder at 1600 (1997),-0.06477802710723622,218
Jungle2Jungle (1997),-0.0706448290670701,132
This Is Spinal Tap (1984),-0.0807956059483351,191
Real Genius (1985),-0.09610538929167928,119
Annie Hall (1977),-0.10012003105121807,180
Seven Years in Tibet (1997),-0.10432851746739139,155
"Remains of the Day, The (1993)",-0.11206737656905633,150
In the Name of the Father (1993),-0.11939020338942653,102
Little Women (1994),-0.12105329416226321,102
Kiss the Girls (1997),-0.12218636275446373,143
"Edge, The (1997)",-0.12716667311518645,113
As Good As It Gets (1997),-0.13046561461068848,112
Crash (1996),-0.1485069771442666,128
G.I. Jane (1997),-0.17673403163544585,175
"First Wives Club, The (1996)",-0.19449601940492833,160
